accessibility,address,elevator,facade,floor,floor_heating,furnished,garage,garden,glazing,living_surface,locality_name,number_baths,number_garage,number_rooms,postal_code,price,project_url,property_id,property_type,property_url,state,swimming_pool,terrace
0,Buiskouter,0,,,0,0,0,1,,170,Astene,1,,4,9800,446000,https://immovlan.be/en/projectdetail/24431-p-vk2254-fzbjbcd4,RBU61379,Residence,https://immovlan.be/en/detail/residence/for-sale/9800/astene/rbu61379,,0,0
0,Hoogstraatsesteenweg 16 18,0,,,0,0,0,0,,,Rijkevorsel,,,,2310,554000604000,https://immovlan.be/en/projectdetail/2980842-6192233,RBR99193,Residence,https://immovlan.be/en/detail/residence/for-sale/2310/rijkevorsel/rbr99193,,0,0
0,Zeelaan 211 - Jaak van Buggenhoutlaan 11,0,,,0,0,0,0,,174,Koksijde,2,,3,8670,653800,https://immovlan.be/en/projectdetail/24431-p-vk2262-w203rvm2,RBU61521,Apartment,https://immovlan.be/en/detail/apartment/for-sale/8670/koksijde/rbu61521,,0,1
0,Middelstede,0,3,,0,0,0,1,,158,Rijkevorsel,1,,3,2310,,https://immovlan.be/en/projectdetail/2980842-6268413,RBR82837,Residence,https://immovlan.be/en/detail/residence/for-sale/2310/rijkevorsel/rbr82837,New,0,1
0,Fincentlaan 11,0,,,0,0,0,0,,90,Knokke-Heist,1,,2,8300,576700,https://immovlan.be/en/projectdetail/24431-p-vk2266-bhswwk8e,RBU57474,Apartment,https://immovlan.be/en/detail/apartment/for-sale/8300/knokke-heist/rbu57474,,0,1
0,Oordgemdorp,0,,,0,0,0,0,,,Oordegem,,,,9340,475000,https://immovlan.be/en/projectdetail/2980843-6192226,RBT42714,Residence,https://immovlan.be/en/detail/residence/for-sale/9340/oordegem/rbt42714,,0,0
0,Strandlaan 230,0,,,0,0,0,1,,154,Koksijde,2,,3,8670,750200,https://immovlan.be/en/projectdetail/24431-p-vk2273-dhiftbxl,RBU15834,Apartment,https://immovlan.be/en/detail/apartment/for-sale/8670/koksijde/rbu15834,,0,1
0,de l'Eglise 45,0,,,0,0,0,0,,,Welkenraedt,,,,4840,166600,https://immovlan.be/en/projectdetail/3055304-vlan96125909_om_144,VBA32879,Office,https://immovlan.be/en/detail/office-space/for-sale/4840/welkenraedt/vba32879,New,0,0
0,,0,,,0,0,0,0,,,,,,,,129255,https://immovlan.be/en/projectdetail/3055304-vlan96125909_om_144,VBA32890,Office,https://immovlan.be/en/detail/office-space/for-sale/4840/welkenraedt/vba32890,New,0,0
0,Scheldestraat 34,0,,,0,0,1,1,,120,Otegem,1,,3,8553,330000,https://immovlan.be/en/projectdetail/24431-p-vk2293-kfqopjxp,RBU55878,Residence,https://immovlan.be/en/detail/residence/for-sale/8553/otegem/rbu55878,,0,1
1,Grand'Route,1,3,2,1,0,1,1,Double glass,165,Crisnée,2,1,3,4367,446500,https://immovlan.be/en/projectdetail/3139480-6828566,VBC87336,Penthouse,https://immovlan.be/en/detail/penthouse/for-sale/4367/crisnee/vbc87336,New,0,1
0,Sint-Benedictusstraat 63,0,,3,0,0,0,1,,158,Mortsel,2,,3,2640,495000,https://immovlan.be/en/projectdetail/3140300-rmg01438137_om_5078,RBT17807,Residence,https://immovlan.be/en/detail/residence/for-sale/2640/mortsel/rbt17807,New,0,1
0,Sint-Benedictusstraat 63,0,,3,0,0,0,1,,158,Mortsel,2,,3,2640,489000,https://immovlan.be/en/projectdetail/3140300-rmg01438137_om_5078,RBT17797,Residence,https://immovlan.be/en/detail/residence/for-sale/2640/mortsel/rbt17797,New,0,1
0,Sint-Benedictusstraat 63,0,,3,0,0,0,1,,159,Mortsel,2,,3,2640,489000,https://immovlan.be/en/projectdetail/3140300-rmg01438137_om_5078,RBT17798,Residence,https://immovlan.be/en/detail/residence/for-sale/2640/mortsel/rbt17798,New,0,1
0,Sint-Benedictusstraat 63,0,,3,0,0,0,1,,158,Mortsel,2,,3,2640,489000,https://immovlan.be/en/projectdetail/3140300-rmg01438137_om_5078,RBT17802,Residence,https://immovlan.be/en/detail/residence/for-sale/2640/mortsel/rbt17802,New,0,1
0,Sint-Benedictusstraat 63,0,,3,0,0,1,1,,158,Mortsel,2,,3,2640,489000,https://immovlan.be/en/projectdetail/3140300-rmg01438137_om_5078,RBT17803,Residence,https://immovlan.be/en/detail/residence/for-sale/2640/mortsel/rbt17803,New,0,1
0,Sint-Benedictusstraat 63,0,,3,0,0,0,1,,130,Mortsel,1,,3,2640,428000,https://immovlan.be/en/projectdetail/3140300-rmg01438137_om_5078,RBT17804,Residence,https://immovlan.be/en/detail/residence/for-sale/2640/mortsel/rbt17804,New,0,1
0,Sint-Benedictusstraat 63,0,,3,0,0,1,1,,131,Mortsel,1,,3,2640,428000,https://immovlan.be/en/projectdetail/3140300-rmg01438137_om_5078,RBT17806,Residence,https://immovlan.be/en/detail/residence/for-sale/2640/mortsel/rbt17806,New,0,1
0,Sint-Benedictusstraat 63,0,,3,0,0,1,0,,147,Mortsel,2,,3,2640,428000,https://immovlan.be/en/projectdetail/3140300-rmg01438137_om_5078,RBT17809,Residence,https://immovlan.be/en/detail/residence/for-sale/2640/mortsel/rbt17809,New,0,1
0,Sint-Benedictusstraat 63,0,,3,0,0,0,0,,148,Mortsel,2,,3,2640,428000,https://immovlan.be/en/projectdetail/3140300-rmg01438137_om_5078,RBT17811,Residence,https://immovlan.be/en/detail/residence/for-sale/2640/mortsel/rbt17811,New,0,1
0,Sint-Benedictusstraat 63,0,,3,0,0,0,0,,155,Mortsel,2,,3,2640,428000,https://immovlan.be/en/projectdetail/3140300-rmg01438137_om_5078,RBT17812,Residence,https://immovlan.be/en/detail/residence/for-sale/2640/mortsel/rbt17812,New,0,1
0,Sint-Benedictusstraat 63,0,,3,0,0,0,1,,132,Mortsel,1,,3,2640,418000,https://immovlan.be/en/projectdetail/3140300-rmg01438137_om_5078,RBT17808,Residence,https://immovlan.be/en/detail/residence/for-sale/2640/mortsel/rbt17808,New,0,1
0,Sint-Benedictusstraat 63,0,,3,0,0,0,1,,125,Mortsel,1,,3,2640,398000,https://immovlan.be/en/projectdetail/3140300-rmg01438137_om_5078,RBT17800,Residence,https://immovlan.be/en/detail/residence/for-sale/2640/mortsel/rbt17800,New,0,1
0,Sint-Benedictusstraat 63,0,,3,0,0,0,1,,125,Mortsel,1,,3,2640,398000,https://immovlan.be/en/projectdetail/3140300-rmg01438137_om_5078,RBT17801,Residence,https://immovlan.be/en/detail/residence/for-sale/2640/mortsel/rbt17801,New,0,1
0,Sint-Benedictusstraat 63,0,,3,0,0,0,0,,158,Mortsel,1,,3,2640,390000,https://immovlan.be/en/projectdetail/3140300-rmg01438137_om_5078,RBT18002,Residence,https://immovlan.be/en/detail/residence/for-sale/2640/mortsel/rbt18002,New,0,1
1,Grand'Route,1,3,2,1,0,1,1,Double glass,170,Crisnée,2,1,3,4367,440500,https://immovlan.be/en/projectdetail/3139480-6828566,VBC87342,Penthouse,https://immovlan.be/en/detail/penthouse/for-sale/4367/crisnee/vbc87342,New,0,1
1,Grand'Route,1,3,2,1,0,1,1,Double glass,111,Crisnée,1,1,2,4367,307050,https://immovlan.be/en/projectdetail/3139480-6828566,VBC87338,Penthouse,https://immovlan.be/en/detail/penthouse/for-sale/4367/crisnee/vbc87338,New,0,1
0,Scheldestraat 34,0,,,0,0,1,1,,120,Otegem,1,,3,8553,330000,https://immovlan.be/en/projectdetail/24431-p-vk2293-kfqopjxp,RBU55879,Residence,https://immovlan.be/en/detail/residence/for-sale/8553/otegem/rbu55879,,0,1
0,Scheldestraat 34,0,,,0,0,1,1,,120,Otegem,1,,3,8553,330000,https://immovlan.be/en/projectdetail/24431-p-vk2293-kfqopjxp,RBU55881,Residence,https://immovlan.be/en/detail/residence/for-sale/8553/otegem/rbu55881,,0,1
0,Scheldestraat 34,0,,,0,0,1,1,,120,Otegem,1,,3,8553,320000,https://immovlan.be/en/projectdetail/24431-p-vk2293-kfqopjxp,RBU55877,Residence,https://immovlan.be/en/detail/residence/for-sale/8553/otegem/rbu55877,,0,1
0,Scheldestraat 34,0,,,0,0,1,1,,120,Otegem,1,,3,8553,320000,https://immovlan.be/en/projectdetail/24431-p-vk2293-kfqopjxp,RBU55880,Residence,https://immovlan.be/en/detail/residence/for-sale/8553/otegem/rbu55880,,0,1
0,Scheldestraat 34,0,,,0,0,1,1,,120,Otegem,1,,3,8553,315000,https://immovlan.be/en/projectdetail/24431-p-vk2293-kfqopjxp,RBU55882,Residence,https://immovlan.be/en/detail/residence/for-sale/8553/otegem/rbu55882,,0,1
0,,1,,3,0,0,0,0,,98,,1,,3,,307900,https://immovlan.be/en/projectdetail/3055304-vlan96125909_om_144,VBA32881,Apartment,https://immovlan.be/en/detail/apartment/for-sale/4840/welkenraedt/vba32881,New,0,1
0,de l'Eglise 45,1,,3,0,0,0,0,,97,Welkenraedt,1,,3,4840,303725,https://immovlan.be/en/projectdetail/3055304-vlan96125909_om_144,VBA32885,Apartment,https://immovlan.be/en/detail/apartment/for-sale/4840/welkenraedt/vba32885,New,0,1
0,,1,,3,0,0,0,0,,103,,1,,3,,335000,https://immovlan.be/en/projectdetail/3055304-vlan96125909_om_144,VBA32886,Apartment,https://immovlan.be/en/detail/apartment/for-sale/4840/welkenraedt/vba32886,New,0,1
0,,1,,3,0,0,0,0,,141,,1,,3,,474000,https://immovlan.be/en/projectdetail/3055304-vlan96125909_om_144,VBA32895,Apartment,https://immovlan.be/en/detail/apartment/for-sale/4840/welkenraedt/vba32895,New,0,1
0,,1,,3,0,0,0,0,,162,,1,,3,,558800,https://immovlan.be/en/projectdetail/3055304-vlan96125909_om_144,VBA32889,Apartment,https://immovlan.be/en/detail/apartment/for-sale/4840/welkenraedt/vba32889,New,0,1
0,,1,,3,0,0,0,0,,166,,2,,3,,502800,https://immovlan.be/en/projectdetail/3055304-vlan96125909_om_144,VBA32888,Apartment,https://immovlan.be/en/detail/apartment/for-sale/4840/welkenraedt/vba32888,New,0,1
0,,0,,3,0,0,0,0,,84,,1,,2,,230900,https://immovlan.be/en/projectdetail/3055304-vlan96125909_om_144,VBA32880,Apartment,https://immovlan.be/en/detail/apartment/for-sale/4840/welkenraedt/vba32880,New,0,1
